City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Tampa Bay,Wingstop (1411 34TH ST N.),2026-01-15T19:38:50.000Z,2026-01-15T20:17:43.000Z,completed,6 pc Wing Combo,1,"Fanta Orange, Ranch, Garlic Parmesan, Bleu Cheese, Lemon Pepper, Seasoned Fries, 6 pc Boneless Combo, 20 oz Soft Drink",0.0,"",14.19,28.69,USD
Tampa Bay,Walgreens (875 Dr Martin Luther King Jr St N),2026-01-06T13:01:14.000Z,2026-01-06T13:35:09.000Z,completed,"Coca-Cola Original Soda, Cherry (20 fl oz)",1,"",,"",3.13,29.38,USD
Tampa Bay,Walgreens (875 Dr Martin Luther King Jr St N),2026-01-06T13:01:14.000Z,2026-01-06T13:35:09.000Z,completed,"MIKE AND IKE Gluten Free Mega Mix Sour Chewy Candy, Assorted (4.25 oz)",2,"",,"",4.16,29.38,USD
Tampa Bay,Walgreens (875 Dr Martin Luther King Jr St N),2026-01-06T13:01:14.000Z,2026-01-06T13:35:09.000Z,completed,"Nerds Gummy Clusters Candy, Very Berry (8 oz)",1,"",,"",7.12,29.38,USD
Tampa Bay,Walgreens (875 Dr Martin Luther King Jr St N),2026-01-06T13:01:14.000Z,2026-01-06T13:35:09.000Z,completed,"Airheads Sour Candy Bars, Assorted (3.3 oz, 6 ct)",1,"",,"",2.08,29.38,USD
Tampa Bay,Taco Bell (5th Ave),2025-12-21T20:18:06.000Z,2025-12-21T21:00:38.000Z,completed,Mild Sauce Packet,6,"",,"",0.0,30.11,USD
Tampa Bay,Taco Bell (5th Ave),2025-12-21T20:18:06.000Z,2025-12-21T21:00:38.000Z,completed,Crunchwrap Supreme®,1,"Nacho Cheese Sauce, Reduced-Fat Sour Cream, Lettuce, Tomatoes, Seasoned Beef",0.0,"",7.92,30.11,USD
Tampa Bay,Taco Bell (5th Ave),2025-12-21T20:18:06.000Z,2025-12-21T21:00:38.000Z,completed,3 Doritos® Locos Tacos Combo,1,"Nacho Cheese Doritos® Locos Tacos, Cheese, Large MTN DEW® Baja Blast®, Ice, Lettuce, Seasoned Beef",0.0,"",13.04,30.11,USD
Tampa Bay,Taco Bell (5th Ave),2025-12-21T20:18:06.000Z,2025-12-21T21:00:38.000Z,completed,3 Doritos® Locos Tacos Combo,1,Extra Cheese,0.79,"",13.04,30.11,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2025-12-19T19:58:02.000Z,2025-12-19T20:51:49.000Z,completed,Plate,1,"The Original Orange Chicken, Fried Rice",0.0,"",12.4,54.19,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2025-12-19T19:58:02.000Z,2025-12-19T20:51:49.000Z,completed,Soy Sauce,1,"",,"",0.0,54.19,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2025-12-19T19:58:02.000Z,2025-12-19T20:51:49.000Z,completed,Sweet & Sour Sauce,1,"",,"",0.0,54.19,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2025-12-19T19:58:02.000Z,2025-12-19T20:51:49.000Z,completed,Cream Cheese Rangoon,1,Large,9.6,"",0.0,54.19,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2025-12-19T19:58:02.000Z,2025-12-19T20:51:49.000Z,completed,Dr Pepper,1,Medium,0.25,"",2.65,54.19,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2025-12-19T19:58:02.000Z,2025-12-19T20:51:49.000Z,completed,Dr Pepper,1,Dr Pepper,0.0,"",2.65,54.19,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2025-12-19T19:58:02.000Z,2025-12-19T20:51:49.000Z,completed,Fanta Strawberry,1,Medium,0.25,"",2.65,54.19,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2025-12-19T19:58:02.000Z,2025-12-19T20:51:49.000Z,completed,Bowl,1,"The Original Orange Chicken, Chow Mein",0.0,"",10.2,54.19,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2025-12-19T19:58:02.000Z,2025-12-19T20:51:49.000Z,completed,Cream Cheese Rangoon,1,"Small (3 pcs), Large (12 pcs)",0.0,"",0.0,54.19,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2025-12-19T19:58:02.000Z,2025-12-19T20:51:49.000Z,completed,Fanta Strawberry,1,Fanta Strawberry,0.0,"",2.65,54.19,USD
Tampa Bay,PDQ Chicken (St. Pete),2025-12-07T13:27:10.000Z,2025-12-07T14:23:17.000Z,completed,Honey Butter Sandwich Meal,1,"Light Ice, Fries, No B&B pickles, Regular Beverage, 20oz Coke",0.0,"",14.09,37.58,USD
Tampa Bay,PDQ Chicken (St. Pete),2025-12-07T13:27:10.000Z,2025-12-07T14:23:17.000Z,completed,Honey Butter Sandwich Meal,1,Ranch,0.98,"",14.09,37.58,USD
